Age,Equal_Width,Equal_Frequency
60.6959,Bin_2,Bin_1
59.4223,Bin_2,Bin_1
66.0452,Bin_3,Bin_2
67.9644,Bin_3,Bin_2
81.5524,Bin_4,Bin_4
63.3977,Bin_3,Bin_2
64.1697,Bin_3,Bin_2
73.0595,Bin_3,Bin_3
,,
77.399,Bin_4,Bin_4
60.1396,Bin_2,Bin_1
77.8836,Bin_4,Bin_4
72.783,Bin_3,Bin_3
,,
63.1923,Bin_3,Bin_2
62.5654,Bin_2,Bin_2
76.5452,Bin_3,Bin_4
62.8528,Bin_3,Bin_2
49.3415,Bin_2,Bin_1
59.0329,Bin_2,Bin_1
68.7474,Bin_3,Bin_3
61.7194,Bin_2,Bin_2
61.4593,Bin_2,Bin_2
63.5318,Bin_3,Bin_2
78.9213,Bin_4,Bin_4
,,
62.2505,Bin_2,Bin_2
52.8569,Bin_2,Bin_1
60.0986,Bin_2,Bin_1
65.4839,Bin_3,Bin_2
66.2149,Bin_3,Bin_2
59.9808,Bin_2,Bin_1
59.8439,Bin_2,Bin_1
61.6947,Bin_2,Bin_2
72.2026,Bin_3,Bin_3
71.2936,Bin_3,Bin_3
53.0513,Bin_2,Bin_1
,,
64.5859,Bin_3,Bin_2
81.9192,Bin_4,Bin_4
67.4059,Bin_3,Bin_2
,,
55.447,Bin_2,Bin_1
,,
49.5113,Bin_2,Bin_1
,,
,,
,,
44.397,Bin_1,Bin_1
70.0151,Bin_3,Bin_3
65.5058,Bin_3,Bin_2
67.0363,Bin_3,Bin_2
76.8296,Bin_3,Bin_4
,,
69.963,Bin_3,Bin_3
72.8761,Bin_3,Bin_3
63.7454,Bin_3,Bin_2
72.961,Bin_3,Bin_3
66.1191,Bin_3,Bin_2
69.41,Bin_3,Bin_3
72.4408,Bin_3,Bin_3
78.9049,Bin_4,Bin_4
76.7721,Bin_3,Bin_4
76.293,Bin_3,Bin_4
83.989,Bin_4,Bin_4
54.7351,Bin_2,Bin_1
,,
64.0247,Bin_3,Bin_2
72.345,Bin_3,Bin_3
69.8645,Bin_3,Bin_3
,,
63.6988,Bin_3,Bin_2
68.0164,Bin_3,Bin_2
77.5606,Bin_4,Bin_4
69.3443,Bin_3,Bin_3
65.2895,Bin_3,Bin_2
74.4203,Bin_3,Bin_3
,,
83.6824,Bin_4,Bin_4
,,
74.1437,Bin_3,Bin_3
74.8118,Bin_3,Bin_3
67.7837,Bin_3,Bin_2
66.0534,Bin_3,Bin_2
52.5777,Bin_2,Bin_1
51.6331,Bin_2,Bin_1
62.4641,Bin_2,Bin_2
,,
77.4018,Bin_4,Bin_4
52.6434,Bin_2,Bin_1
71.1513,Bin_3,Bin_3
78.308,Bin_4,Bin_4
,,
71.4493,Bin_3,Bin_3
54.8904,Bin_2,Bin_1
50.2247,Bin_2,Bin_1
60.1945,Bin_2,Bin_1
66.7205,Bin_3,Bin_2
75.4329,Bin_3,Bin_3
88.2658,Bin_4,Bin_4
75.4466,Bin_3,Bin_3
68.3178,Bin_3,Bin_2
51.0767,Bin_2,Bin_1
80.326,Bin_4,Bin_4
79.726,Bin_4,Bin_4
66.589,Bin_3,Bin_2
75.589,Bin_3,Bin_3
54.3616,Bin_2,Bin_1
48.1753,Bin_1,Bin_1
76.5781,Bin_3,Bin_4
77.0986,Bin_3,Bin_4
57.9123,Bin_2,Bin_1
78.2274,Bin_4,Bin_4
60.1589,Bin_2,Bin_1
83.589,Bin_4,Bin_4
61.7945,Bin_2,Bin_2
70.5397,Bin_3,Bin_3
67.2164,Bin_3,Bin_2
72.8877,Bin_3,Bin_3
83.0548,Bin_4,Bin_4
57.5288,Bin_2,Bin_1
67.2822,Bin_3,Bin_2
88.3863,Bin_4,Bin_4
,,
