mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.004850625991821289,0.000880741272435434,0.004061651229858398,0.0008767395607797476,gini,5,2,10,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.8676470588235294,0.8382352941176471,0.8805970149253731,0.8805970149253731,0.8208955223880597,0.8575943810359966,0.024003662782045593,60
0.004080438613891601,0.0001877333144545426,0.004095983505249023,0.0009615171688423967,entropy,5,1,2,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.8676470588235294,0.8235294117647058,0.8805970149253731,0.8805970149253731,0.8208955223880597,0.8546532045654083,0.026919414647264765,61
0.004256153106689453,0.00017710964548242432,0.003435230255126953,0.00014752809962509622,entropy,5,1,10,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.8676470588235294,0.8235294117647058,0.8805970149253731,0.8805970149253731,0.8208955223880597,0.8546532045654083,0.026919414647264765,61
0.004210090637207032,0.00018615600515183782,0.003622150421142578,0.0002451252175656458,entropy,5,1,5,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.8676470588235294,0.8235294117647058,0.8805970149253731,0.8805970149253731,0.8208955223880597,0.8546532045654083,0.026919414647264765,61
0.0047204017639160155,0.00127203360096826,0.0035051822662353514,0.00019434477509164334,entropy,6,2,10,"{'criterion': 'entropy', 'max_depth': 6, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.8676470588235294,0.8382352941176471,0.8805970149253731,0.8805970149253731,0.8059701492537313,0.8546093064091309,0.028825616604606436,64
0.00435185432434082,0.00026722198549198993,0.003458881378173828,0.00011670141094584802,gini,4,4,5,"{'criterion': 'gini', 'max_depth': 4, 'min_samples_leaf': 4, 'min_samples_split': 5}",0.8823529411764706,0.8382352941176471,0.8805970149253731,0.8507462686567164,0.8208955223880597,0.8545654082528534,0.023936211901659628,65
0.003976583480834961,0.00023527205304400806,0.0032942771911621095,0.00019452626659214692,gini,4,4,2,"{'criterion': 'gini', 'max_depth': 4, 'min_samples_leaf': 4, 'min_samples_split': 2}",0.8823529411764706,0.8382352941176471,0.8805970149253731,0.8507462686567164,0.8208955223880597,0.8545654082528534,0.023936211901659628,65
0.005370044708251953,0.0012565219331011385,0.004029130935668946,0.0007695647344877326,entropy,5,4,5,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5}",0.8823529411764706,0.8382352941176471,0.8805970149253731,0.8507462686567164,0.8208955223880597,0.8545654082528534,0.023936211901659628,65
0.004070663452148437,5.627882553836039e-05,0.0036106109619140625,0.0002866668297229579,entropy,5,4,2,"{'criterion': 'entropy', 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 2}",0.8823529411764706,0.8382352941176471,0.8805970149253731,0.8507462686567164,0.8208955223880597,0.8545654082528534,0.023936211901659628,65
0.004909610748291016,0.0008392066924224203,0.0035594940185546876,0.00010074076246298676,entropy,6,2,2,"{'criterion': 'entropy', 'max_depth': 6, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.8529411764705882,0.8529411764705882,0.8656716417910447,0.8805970149253731,0.8059701492537313,0.8516242317822652,0.02499806324161415,69
